i,gravid,classe
13.592433,-8.5351,1
15.775386,-17.5011,1
3.649369,-1.9220,1
17.264362,7.7130,1
12.705183,-90.1865,1
7.573969,25.6446,2
11.749524,8.6021,1
9.847899,-81.9423,1
18.143625,4.1363,1
19.790224,21.4419,1
7.146955,-5.6776,1
20.400683,18.1123,1
14.923734,44.5144,2
13.078349,-7.5575,1
12.038134,19.7375,1
6.513521,-50.7145,1
6.346804,-73.8493,1
15.299407,17.6016,1
13.324605,-9.5093,1
16.431805,-23.6336,1
11.963478,0.1396,1
3.511682,-113.6213,1
18.284453,-44.7497,1
21.209443,-8.7339,1
21.283531,-75.1935,1
13.718155,-40.8766,1
16.385426,6.9196,1
11.943424,-3.8318,1
16.205436,19.4197,1
7.714857,-45.1357,1
11.3706,-14.0441,1
9.868345,-23.8060,1
7.256453,11.4684,1
1.248846,-54.1637,1
21.068955,17.0933,1
16.50632,-25.6421,1
21.554942,-34.4266,1
17.903192,-36.0724,1
14.310258,-33.4213,1
15.126171,-29.3236,1
17.466103,-45.3373,1
16.223895,23.7033,1
17.291532,-16.2601,1
14.12479,-3.6750,1
17.630134,11.3224,1
10.687887,-137.2845,1
12.364034,-57.5766,1
20.657846,8.1533,1
20.36851,35.5109,2
15.61817,-42.2990,1
9.820078,-66.0715,1
17.380153,-6.1801,1
20.906759,1.6987,1
20.221886,-26.8977,1
13.744067,-43.4846,1
12.305907,-37.0299,1
20.882719,-14.9845,1
12.579751,-70.6701,1
20.735485,1.9895,1
3.975737,-81.1087,1
16.982471,15.5329,1
16.847744,-34.2952,1
10.173211,11.9756,1
14.36094,-63.3717,1
14.984723,-8.2233,1
16.83944,-84.7502,1
13.778131,3.3031,1
13.007155,16.4038,1
3.202513,-87.3455,1
13.887734,15.8112,1
15.191029,-28.9810,1
8.206127,-56.0289,1
14.593625,-67.3510,1
6.481257,-55.5063,1
21.64867,10.7841,1
20.922312,-57.6874,1
18.546316,9.2494,1
17.045197,-59.5401,1
11.48391,-93.2105,1
12.469101,8.3263,1
8.432425,-88.5212,1
12.473859,-24.4830,1
12.962356,-45.3650,1
17.868488,-11.8405,1
18.911318,15.2509,1
13.906528,-41.6509,1
16.030236,-33.4398,1
14.379702,-1.7820,1
13.880376,-88.2332,1
18.785005,18.0688,1
17.043313,-12.5277,1
13.016307,-12.1082,1
18.457682,-15.0403,1
18.344578,-12.8934,1
14.994664,-28.3852,1
12.06248,10.7363,1
13.209147,-108.0525,1
8.41931,-66.9638,1
3.404824,-1.3048,1
8.414461,-67.8357,1
15.587225,-12.3469,1
16.266374,24.4255,1
16.703478,-29.3045,1
11.54147,-72.4233,1
2.675174,-54.8357,1
15.933585,-1.5794,1
8.989112,-73.5674,1
21.344609,-57.5578,1
20.908962,-5.8145,1
15.454521,30.7680,2
7.136964,10.6761,1
15.184719,-5.7884,1
18.977017,-105.6598,1
21.763449,-2.7429,1
3.408064,-37.9513,1
16.716103,44.6455,2
16.185956,-3.8619,1
19.788296,-42.1308,1
16.156523,-10.9636,1
16.624687,-42.4510,1
16.429,4.7271,1
17.25907,-39.0362,1
12.823891,-10.5238,1
